epoch,dice_coef,loss,val_dice_coef,val_loss
0,0.1961710900068283,0.8039330840110779,0.1190292090177536,0.8807620406150818
1,0.3072478175163269,0.6928094029426575,0.19425809383392334,0.8049569129943848
2,0.3812272250652313,0.6188376545906067,0.32531121373176575,0.6739121079444885
3,0.44705453515052795,0.553008496761322,0.37415051460266113,0.6238890290260315
4,0.5064058303833008,0.4936102330684662,0.4352949559688568,0.5643029808998108
5,0.5715135931968689,0.42844900488853455,0.48101431131362915,0.5190010666847229
6,0.6088676452636719,0.39116257429122925,0.5695246458053589,0.4297555088996887
7,0.6387456059455872,0.3611965775489807,0.5854532122612,0.41432538628578186
8,0.6743062734603882,0.3256794810295105,0.6274544596672058,0.3717729449272156
9,0.7011697888374329,0.2988507151603699,0.45373404026031494,0.5456310510635376
10,0.6421339511871338,0.35796496272087097,0.5513752102851868,0.4475123882293701
11,0.707029402256012,0.2929888367652893,0.6318298578262329,0.3678390681743622
12,0.727239727973938,0.2727802097797394,0.6816310286521912,0.31753864884376526
13,0.7496269941329956,0.2503749430179596,0.6985120177268982,0.3000965714454651
14,0.7594810724258423,0.24049200117588043,0.7130081057548523,0.2867310345172882
15,0.7695500254631042,0.23047848045825958,0.7380945086479187,0.2610061764717102
16,0.7891721725463867,0.21086904406547546,0.7454628944396973,0.25312429666519165
17,0.7926965951919556,0.20730938017368317,0.7522584795951843,0.24623535573482513
18,0.8017035722732544,0.1983143538236618,0.7435428500175476,0.25533413887023926
19,0.8071017861366272,0.19289128482341766,0.7602742910385132,0.23929405212402344
20,0.8178513646125793,0.18215785920619965,0.7601468563079834,0.23897145688533783
21,0.8253130316734314,0.17472527921199799,0.7613379955291748,0.23610033094882965
22,0.8315907716751099,0.16844165325164795,0.7776735424995422,0.2211415320634842
23,0.8340092301368713,0.16597849130630493,0.78498375415802,0.2144799679517746
24,0.8370494842529297,0.16294090449810028,0.7745492458343506,0.22480511665344238
25,0.8357416391372681,0.16426970064640045,0.7870669364929199,0.2118837535381317
26,0.8478096723556519,0.15218384563922882,0.776964008808136,0.2222273349761963
27,0.8472976088523865,0.15269066393375397,0.7892181277275085,0.21005380153656006
28,0.8564256429672241,0.1435876488685608,0.7923416495323181,0.20668217539787292
29,0.8585866689682007,0.14144307374954224,0.8075080513954163,0.19143877923488617
30,0.8676500916481018,0.13234230875968933,0.8110436797142029,0.18730206787586212
31,0.8733974099159241,0.12658514082431793,0.803877055644989,0.1954081952571869
32,0.8732771873474121,0.12671056389808655,0.8097795248031616,0.18943355977535248
33,0.8769949078559875,0.12300778925418854,0.8066915273666382,0.19273322820663452
34,0.8816378712654114,0.11834871768951416,0.8157271146774292,0.1825750768184662
35,0.8823031783103943,0.11771933734416962,0.8133882880210876,0.18588556349277496
36,0.8826490044593811,0.11736100912094116,0.8181321620941162,0.1810595542192459
37,0.887189507484436,0.11281392723321915,0.8201619982719421,0.1786610186100006
38,0.8899134993553162,0.11008431762456894,0.8252182006835938,0.17396633327007294
39,0.8925535678863525,0.10742507129907608,0.8241490125656128,0.17492994666099548
40,0.897994875907898,0.10199708491563797,0.8310730457305908,0.16844844818115234
41,0.8995333313941956,0.10046011954545975,0.8243699073791504,0.17478638887405396
42,0.9014596939086914,0.09854509681463242,0.834884524345398,0.16401708126068115
43,0.9034436345100403,0.09654310345649719,0.8183451294898987,0.18110765516757965
44,0.9003308415412903,0.09969468414783478,0.8369250297546387,0.16228589415550232
45,0.9034330248832703,0.09658009558916092,0.8297377228736877,0.16969479620456696
46,0.9040735363960266,0.09593303501605988,0.8298830986022949,0.16917920112609863
47,0.9109925031661987,0.08900019526481628,0.8358623385429382,0.16336874663829803
48,0.9079941511154175,0.09197311848402023,0.8331285715103149,0.16629411280155182
49,0.9133855700492859,0.08659268170595169,0.8427739143371582,0.15645524859428406
50,0.9128501415252686,0.08715387433767319,0.839078426361084,0.15977337956428528
51,0.9212503433227539,0.0787615105509758,0.8478541374206543,0.15173989534378052
52,0.9208588600158691,0.0791553482413292,0.8444219827651978,0.15508563816547394
53,0.9200132489204407,0.07997947931289673,0.8453487753868103,0.1541975438594818
54,0.9184644818305969,0.08150974661111832,0.8420684337615967,0.15722227096557617
55,0.9241123795509338,0.07588601112365723,0.8477093577384949,0.15147888660430908
56,0.9197632074356079,0.08023227006196976,0.8308065533638,0.16880427300930023
57,0.9173636436462402,0.08262103796005249,0.8410843014717102,0.15860284864902496
58,0.9231799244880676,0.07682802528142929,0.8499627113342285,0.14915251731872559
59,0.9294747114181519,0.07050846517086029,0.8501831889152527,0.1492936611175537
60,0.9290258288383484,0.07098177820444107,0.8501007556915283,0.14887523651123047
61,0.9308624267578125,0.06910357624292374,0.849495530128479,0.14964552223682404
62,0.9338613152503967,0.06612897664308548,0.8533200621604919,0.14612168073654175
63,0.9318711757659912,0.06814072281122208,0.8383450508117676,0.16155458986759186
64,0.9290149807929993,0.07099739462137222,0.8467723727226257,0.15242420136928558
